38°45′47″  139°44′51″
38°40′56″  139°47′53″
38°42′09″  139°58′58″
38°32′56″  140°01′37″
38°31′45″  140°12′38″
38°37′12″  139°37′51″
38°31′13″  139°43′40″
38°20′35″  139°50′57″
38°15′38″  139°55′20″
38°11′51″  139°52′47″
38°13′19″  139°40′08″
38°21′40″  139°30′39″
38°13′22″  140°10′23″
37°56′33″  139°36′32″
37°52′48″  139°38′19″
37°51′17″  139°42′26″
37°49′58″  139°39′37″
37°53′59″  139°29′57″
37°48′04″  139°20′44″
37°43′45″  139°38′59″
37°48′50″  139°55′32″
37°46′08″  140°41′15″
37°32′35″  140°41′01″
37°28′01″  140°41′20″
37°21′18″  140°42′06″
37°12′38″  140°52′03″
37°15′57″  140°32′05″
37°03′07″  140°45′45″
36°42′39″  140°33′44″
36°43′27″  140°25′11″
36°37′16″  140°35′16″
36°55′49″  140°16′23″
36°19′19″  140°12′04″
36°17′56″  140°08′37″
36°13′31″  140°06′24″
37°09′01″  139°57′41″
37°07′29″  139°57′47″
37°05′07″  139°49′19″
37°03′49″  139°50′40″
36°54′00″  139°46′36″
36°48′41″  139°32′11″
36°47′43″  139°30′26″
36°48′26″  139°30′39″
36°49′04″  139°28′58″
36°45′54″  139°29′27″
36°47′55″  139°22′33″
36°41′24″  139°20′13″
36°40′23″  139°21′40″
36°38′58″  139°19′38″
36°37′11″  139°31′20″
36°33′37″  139°11′36″
36°32′28″  139°10′38″
37°21′47″  139°42′53″
37°19′33″  139°53′12″
37°07′27″  139°39′27″
37°02′10″  139°38′37″
36°58′28″  139°28′42″
36°58′11″  139°27′36″
36°54′32″  139°23′37″
36°52′58″  139°22′18″
37°13′16″  139°20′23″
37°10′22″  139°20′05″
37°02′51″  139°21′13″
37°00′07″  139°10′15″
36°57′25″  139°12′38″
36°57′18″  139°17′07″
36°54′13″  139°10′24″
36°48′19″  139°07′57″
37°31′19″  139°25′33″
37°33′19″  139°11′19″
37°30′45″  139°15′58″
37°23′52″  139°08′12″
37°20′37″  139°14′01″
37°15′24″  139°10′30″
37°11′00″  139°11′22″
37°07′25″  139°04′31″
37°06′14″  139°01′29″
37°05′07″  139°04′39″
37°06′02″  139°08′53″
36°59′41″  139°03′00″
36°58′43″  138°57′51″
36°54′09″  138°55′37″
36°52′50″  138°58′21″
36°51′35″  138°58′02″
36°50′57″  138°55′00″
36°50′50″  138°55′28″
36°50′14″  138°55′48″
36°49′27″  138°52′45″
36°49′03″  138°50′22″
36°44′47″  138°55′38″
36°50′45″  138°41′25″
36°46′20″  138°40′14″
36°44′17″  138°41′36″
36°50′21″  138°35′02″
